Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
P001_end_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0031850683993438758)	(4, 0.0031850683993438758)	(5, 0.0031850683993438758)	(6, 0.019110410396063256)	(7, 0.019110410396063256)	(8, 0.019110410396063256)	(9, 0.019110410396063256)	(10, 0.019110410396063256)	(12, 0.025082413644833025)	(14, 0.04220215629130636)	(16, 0.046979758890322174)	(18, 0.3029796314875862)	(20, 4.918143742136863)	(22, 9.491901963594668)	(24, 9.84504642237192)	(26, 10.003503575239279)	(28, 10.017040115936489)	(30, 10.037344926982307)	(32, 10.064019874826812)	(34, 10.086315353622219)	(36, 10.09786122656984)	(38, 13.558039908907045)	(40, 16.807605943337634)	(42, 16.833086490532384)	(44, 16.834679024732054)	(46, 16.838660360231238)	(48, 16.85816890417722)	(50, 16.876881181023364)	(52, 16.878473715223034)	(54, 16.89001958817066)	(56, 16.940184415460322)	(58, 17.133279187170544)	(60, 17.14601946076792)	(62, 17.24276591339799)	(64, 17.253913652795696)	(66, 17.265857659293232)	(68, 17.27819979934069)	(70, 17.292930740687655)	(72, 17.302485945885685)	(74, 17.332345962129537)	(76, 17.35543770802478)	(78, 17.36101157772363)	(80, 17.3868902584683)	(82, 17.400028665615594)	(84, 17.400028665615594)	(86, 17.400028665615594)	(88, 17.413963339862725)	(90, 17.431083082509197)	(92, 17.437851352857802)	(94, 17.447008424505917)	(96, 17.4621374994028)	(98, 17.468507636201487)	(100, 17.477266574299684)	(102, 17.484432978198207)	(104, 17.501950854394597)	(106, 17.53141273708853)	(108, 17.559282085582787)	(110, 17.585160766327455)	(112, 17.624974121319255)	(114, 18.19311069705222)	(116, 61.42006274584747)	(118, 61.59285270651188)	(120, 67.08629942828023)	(122, 72.36077269759367)	(124, 72.36276336534327)	(126, 72.3723185705413)	(128, 72.38784577898811)	(130, 72.39700285063623)	(132, 72.43681620562802)	(134, 79.4300320099374)	(136, 85.87780485085918)	(138, 89.84918701129106)
P001_end_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.00039813354991798447)	(24, 0.0007962670998359689)	(26, 0.0007962670998359689)	(28, 0.0007962670998359689)	(30, 0.0007962670998359689)	(32, 0.0007962670998359689)	(34, 0.0007962670998359689)	(36, 0.0007962670998359689)	(38, 0.0007962670998359689)	(40, 0.0007962670998359689)	(42, 0.0011944006497539533)	(44, 0.0015925341996719379)	(46, 0.0015925341996719379)	(48, 0.0015925341996719379)	(50, 0.0015925341996719379)	(52, 0.0015925341996719379)	(54, 0.0015925341996719379)	(56, 0.0015925341996719379)	(58, 0.0015925341996719379)	(60, 0.0015925341996719379)	(62, 0.0015925341996719379)	(64, 0.0015925341996719379)	(66, 0.0023888012995079066)	(68, 0.0043794690490978295)	(70, 0.004777602599015814)	(72, 0.005972003248769767)	(74, 0.011147739397703565)	(76, 0.0230917458952431)	(78, 0.02667494784450496)	(80, 0.02747121494434093)	(82, 0.03463761884286465)	(84, 0.047377892440240155)	(86, 0.06330323443695954)	(88, 0.32527511028299333)	(90, 4.250075645374484)	(92, 8.496966222349624)	(94, 9.372063765069354)	(96, 9.788113324733649)	(98, 9.953338747949612)	(100, 10.074769480674597)	(102, 10.171515933304669)	(104, 10.257512780086952)	(106, 10.363814437915053)	(108, 12.895943815393435)	(110, 16.228719761756885)	(112, 16.674629337665024)	(114, 16.894399057219754)	(116, 17.002691382797444)	(118, 17.12014078002325)	(120, 17.214896564903732)	(122, 17.256302454095202)	(124, 17.29651394263692)	(126, 17.374149984870925)	(128, 17.55052314748459)	(130, 17.623779720669503)	(132, 17.71654483780039)	(134, 17.747599254693995)	(136, 17.77188540123899)	(138, 17.796569681333906)
P001_end_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0031850683993438758)	(4, 0.0031850683993438758)	(5, 0.0031850683993438758)	(6, 0.019110410396063256)	(7, 0.019110410396063256)	(8, 0.019110410396063256)	(9, 0.019110410396063256)	(10, 0.019110410396063256)	(12, 0.025480547194751006)	(14, 0.04299842339114233)	(16, 0.047776025990158136)	(18, 0.3041740321373402)	(20, 4.978261908174478)	(22, 9.612536429219817)	(24, 9.969264089946332)	(26, 10.128119376363607)	(28, 10.142054050610737)	(30, 10.161960728106635)	(32, 10.189431943050977)	(34, 10.212125555396302)	(36, 10.223671428343923)	(38, 13.700969853327601)	(40, 16.959692959406304)	(42, 16.98756230790056)	(44, 16.989154842100234)	(46, 16.993136177599414)	(48, 17.01025592024589)	(50, 17.026579395792524)	(52, 17.028171929992197)	(54, 17.03971780293982)	(56, 17.09266956507891)	(58, 17.287356870988802)	(60, 17.300495278136097)	(62, 17.396047330116414)	(64, 17.407991336613954)	(66, 17.420333476661412)	(68, 17.433073750258785)	(70, 17.447406558055835)	(72, 17.457359896803787)	(74, 17.48602551239788)	(76, 17.50752472409345)	(78, 17.5130985937923)	(80, 17.53897727453697)	(82, 17.552115681684263)	(84, 17.552115681684263)	(86, 17.552115681684263)	(88, 17.56644848948131)	(90, 17.583966365677703)	(92, 17.59073463602631)	(94, 17.60028984122434)	(96, 17.615020782571307)	(98, 17.620992785820075)	(100, 17.629353590368353)	(102, 17.637316261366713)	(104, 17.654834137563103)	(106, 17.682703486057363)	(108, 17.70937843390187)	(110, 17.734858981096618)	(112, 17.777459270937847)	(114, 18.345595846670804)	(116, 61.778781074323575)	(118, 61.9543579698374)	(120, 67.33154969502971)	(122, 72.49693437166563)	(124, 72.5005175736149)	(126, 72.51086904591276)	(128, 72.52639625435957)	(130, 72.53475705890784)	(132, 72.57417228034973)	(134, 79.74694631567213)	(136, 86.33963976876404)	(138, 90.36476995843486)
P001_end_R2_001 - polyg	(1, 0.20065930915866417)	(2, 0.20145557625850016)	(3, 0.20145557625850016)	(4, 0.20145557625850016)	(5, 0.20145557625850016)	(6, 0.20145557625850016)	(7, 0.20145557625850016)	(8, 0.2030481104581721)	(9, 0.2030481104581721)	(10, 0.20384437755800805)	(12, 0.20384437755800805)	(14, 0.20384437755800805)	(16, 0.20384437755800805)	(18, 0.20384437755800805)	(20, 0.20384437755800805)	(22, 0.20384437755800805)	(24, 0.20464064465784404)	(26, 0.20464064465784404)	(28, 0.20464064465784404)	(30, 0.20464064465784404)	(32, 0.20623317885751596)	(34, 0.20623317885751596)	(36, 0.20623317885751596)	(38, 0.20623317885751596)	(40, 0.20623317885751596)	(42, 0.20623317885751596)	(44, 0.20702944595735193)	(46, 0.20702944595735193)	(48, 0.20782571305718792)	(50, 0.20782571305718792)	(52, 0.20941824725685984)	(54, 0.20941824725685984)	(56, 0.20941824725685984)	(58, 0.20941824725685984)	(60, 0.20941824725685984)	(62, 0.20941824725685984)	(64, 0.20941824725685984)	(66, 0.20941824725685984)	(68, 0.20941824725685984)	(70, 0.20941824725685984)	(72, 0.20941824725685984)	(74, 0.2102145143566958)	(76, 0.2102145143566958)	(78, 0.21180704855636776)	(80, 0.2177790518051375)	(82, 0.2261398563534152)	(84, 0.22693612345325115)	(86, 0.22733425700316914)	(88, 0.24206519835013457)	(90, 0.2512222699982482)	(92, 0.3443855206790566)	(94, 0.6732438329113117)	(96, 6.930708836972274)	(98, 8.611628684726004)	(100, 9.150303377765038)	(102, 9.466421416399918)	(104, 9.763429044638734)	(106, 10.006290510088704)	(108, 10.157581259057539)	(110, 10.242781838739987)	(112, 10.47728249964168)	(114, 14.656490373130763)	(116, 15.729062156609814)	(118, 15.948035609064704)	(120, 16.151481853072795)	(122, 16.406287325020305)	(124, 16.722007230105266)	(126, 16.915898268915324)	(128, 17.006274584746706)	(130, 17.097447167677927)	(132, 17.252719252145937)	(134, 17.425907346360262)	(136, 17.507126590543532)	(138, 17.57799436242893)
P001_start_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.009308603476763398)	(7, 0.009308603476763398)	(8, 0.009308603476763398)	(9, 0.009308603476763398)	(10, 0.011635754345954248)	(12, 0.01454469293244281)	(14, 0.019780782388122222)	(16, 0.019780782388122222)	(18, 0.21002536594447418)	(20, 3.700169882013451)	(22, 7.154825347327267)	(24, 7.4585185357566735)	(26, 7.580693956389193)	(28, 7.584184682692979)	(30, 7.602801889646506)	(32, 7.628400549207605)	(34, 7.654580996486002)	(36, 7.668543901701147)	(38, 10.273789299760303)	(40, 12.733005980777733)	(42, 12.746387098275582)	(44, 12.75918642805613)	(46, 12.769076819250191)	(48, 12.770822182402085)	(50, 12.773731120988574)	(52, 12.774894696423168)	(54, 12.783039724465336)	(56, 12.83307346815294)	(58, 12.969211794000605)	(60, 12.987247213236834)	(62, 13.05415280072607)	(64, 13.059970677899049)	(66, 13.065788555072025)	(68, 13.073933583114194)	(70, 13.090805426915827)	(72, 13.097205091806103)	(74, 13.136184868865048)	(76, 13.17632822135859)	(78, 13.182146098531568)	(80, 13.195527216029415)	(82, 13.207744758092668)	(84, 13.207744758092668)	(86, 13.21705336156943)	(88, 13.222871238742409)	(90, 13.225780177328897)	(92, 13.228689115915385)	(94, 13.22985269134998)	(96, 13.23276162993647)	(98, 13.233343417653767)	(100, 13.233343417653767)	(102, 13.256033138628379)	(104, 13.294431127970025)	(106, 13.312466547206256)	(108, 13.332247329594377)	(110, 13.347373810244118)	(112, 13.395080403062531)	(114, 14.033301528938122)	(116, 58.2410230155221)	(118, 58.38937888343301)	(120, 64.00421214307323)	(122, 69.42356472970143)	(124, 69.43345512089549)	(126, 69.45207232784901)	(128, 69.4846524400177)	(130, 69.50792394870959)	(132, 69.57366596076423)	(134, 77.60757254892835)	(136, 85.04107421284121)	(138, 89.22121896162528)
P001_start_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0005817877172977124)	(18, 0.0011635754345954248)	(20, 0.0011635754345954248)	(22, 0.0011635754345954248)	(24, 0.0011635754345954248)	(26, 0.0011635754345954248)	(28, 0.0011635754345954248)	(30, 0.0011635754345954248)	(32, 0.0011635754345954248)	(34, 0.0011635754345954248)	(36, 0.0011635754345954248)	(38, 0.0011635754345954248)	(40, 0.0011635754345954248)	(42, 0.0011635754345954248)	(44, 0.0011635754345954248)	(46, 0.0011635754345954248)	(48, 0.0011635754345954248)	(50, 0.0011635754345954248)	(52, 0.0011635754345954248)	(54, 0.0011635754345954248)	(56, 0.0011635754345954248)	(58, 0.0011635754345954248)	(60, 0.0011635754345954248)	(62, 0.0011635754345954248)	(64, 0.0011635754345954248)	(66, 0.002908938586488562)	(68, 0.0034907263037862743)	(70, 0.0034907263037862743)	(72, 0.01163575434595425)	(74, 0.029089385864885617)	(76, 0.04770659281841241)	(78, 0.05410625770868725)	(80, 0.058760559447068955)	(82, 0.061669498033557514)	(84, 0.06457843662004609)	(86, 0.07272346466221405)	(88, 0.21700681855204673)	(90, 2.587791766540225)	(92, 6.098298852714622)	(94, 6.900584114868167)	(96, 7.303763002955481)	(98, 7.445137418258826)	(100, 7.533569151288078)	(102, 7.618510158013544)	(104, 7.701705801587117)	(106, 7.793046473202858)	(108, 9.36445509762398)	(110, 12.008098485024785)	(112, 12.430476367782923)	(114, 12.690535477415)	(116, 12.815038048916712)	(118, 12.915105536291918)	(120, 12.98317469921575)	(122, 13.034953806055245)	(124, 13.065206767354727)	(126, 13.124549114519095)	(128, 13.240906657978638)	(130, 13.317702636661934)	(132, 13.38984431360685)	(134, 13.411370459146866)	(136, 13.428824090665799)	(138, 13.441623420446348)
P001_start_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.009308603476763398)	(7, 0.009308603476763398)	(8, 0.009308603476763398)	(9, 0.009308603476763398)	(10, 0.011635754345954248)	(12, 0.01454469293244281)	(14, 0.019780782388122222)	(16, 0.019780782388122222)	(18, 0.2106071536617719)	(20, 3.7449675362453747)	(22, 7.2432570803565195)	(24, 7.547532056503224)	(26, 7.669125689418445)	(28, 7.672616415722231)	(30, 7.6912336226757585)	(32, 7.715668706802262)	(34, 7.7406855786460635)	(36, 7.754648483861208)	(38, 10.3511670661609)	(40, 12.801656931418863)	(42, 12.816201624351306)	(44, 12.828419166414559)	(46, 12.837727769891321)	(48, 12.839473133043214)	(50, 12.8435456470643)	(52, 12.844709222498896)	(54, 12.852854250541062)	(56, 12.904051569663261)	(58, 13.040771683228224)	(60, 13.05938889018175)	(62, 13.127458053105583)	(64, 13.133275930278561)	(66, 13.139093807451538)	(68, 13.147820623211004)	(70, 13.164110679295339)	(72, 13.17109213190291)	(74, 13.215307998417536)	(76, 13.25777850178027)	(78, 13.263596378953247)	(80, 13.276395708733798)	(82, 13.28803146307975)	(84, 13.28803146307975)	(86, 13.297340066556515)	(88, 13.301994368294897)	(90, 13.304903306881386)	(92, 13.307812245467874)	(94, 13.308975820902468)	(96, 13.312466547206256)	(98, 13.312466547206256)	(100, 13.312466547206256)	(102, 13.335738055898164)	(104, 13.376463196109004)	(106, 13.395080403062531)	(108, 13.416024760885248)	(110, 13.43115124153499)	(112, 13.478276046636104)	(114, 14.11707896022899)	(116, 58.76346838565544)	(118, 58.90949710269717)	(120, 64.50513136766656)	(122, 69.90295780875473)	(124, 69.9122664122315)	(126, 69.92972004375044)	(128, 69.96171836820182)	(130, 69.98440808917641)	(132, 70.05131367666566)	(134, 78.29989993251263)	(136, 85.92131902911265)	(138, 90.18989551092596)
P001_start_R2_001 - polyg	(1, 0.1547555328011915)	(2, 0.15708268367038236)	(3, 0.15708268367038236)	(4, 0.15708268367038236)	(5, 0.15708268367038236)	(6, 0.15708268367038236)	(7, 0.15708268367038236)	(8, 0.15708268367038236)	(9, 0.15708268367038236)	(10, 0.1594098345395732)	(12, 0.1594098345395732)	(14, 0.1594098345395732)	(16, 0.1594098345395732)	(18, 0.1594098345395732)	(20, 0.1594098345395732)	(22, 0.1594098345395732)	(24, 0.1594098345395732)	(26, 0.1594098345395732)	(28, 0.1594098345395732)	(30, 0.1594098345395732)	(32, 0.1594098345395732)	(34, 0.1594098345395732)	(36, 0.1599916222568709)	(38, 0.16057340997416863)	(40, 0.16057340997416863)	(42, 0.16057340997416863)	(44, 0.16173698540876405)	(46, 0.16173698540876405)	(48, 0.16290056084335947)	(50, 0.16290056084335947)	(52, 0.16522771171255032)	(54, 0.16522771171255032)	(56, 0.16522771171255032)	(58, 0.16522771171255032)	(60, 0.16522771171255032)	(62, 0.16522771171255032)	(64, 0.16522771171255032)	(66, 0.16639128714714574)	(68, 0.16755486258174118)	(70, 0.16755486258174118)	(72, 0.16755486258174118)	(74, 0.16755486258174118)	(76, 0.16755486258174118)	(78, 0.16755486258174118)	(80, 0.1687184380163366)	(82, 0.17453631518931373)	(84, 0.17453631518931373)	(86, 0.17860882921039772)	(88, 0.18500849410067255)	(90, 0.19140815899094737)	(92, 0.2484233552861232)	(94, 0.5154639175257733)	(96, 5.30008610458216)	(98, 6.525331037211142)	(100, 6.982034395289847)	(102, 7.219985571664611)	(104, 7.4428102673896355)	(106, 7.598729375625422)	(108, 7.7226501594098345)	(110, 7.800609713527728)	(112, 7.973400665565149)	(114, 11.119708640711178)	(116, 11.955155802750692)	(118, 12.12096530218054)	(120, 12.28153871215471)	(122, 12.485164413208908)	(124, 12.724279165018269)	(126, 12.854017825975658)	(128, 12.915687324009216)	(130, 12.96804821856601)	(132, 13.071606432245002)	(134, 13.188545763421843)	(136, 13.24788811058621)	(138, 13.300830792860301)
